POSTCODE,POSITIONAL_QUALITY_INDICATOR,PO_BOX_INDICATOR,TOTAL_NUMBER_OF_DELIVERY_POINTS,DELIVERY_POINTS_CPLC,DOMESTIC_DELIVERY_POINTS,NON_DOMESTIC_DELIVERY_POINTS,PO_BOX_DELIVERY_POINTS,MATCHED_ADDRESS_PREMISES,UNMATCHED_DELIVERY_POINTS,COUNTRY_CODE,NHS_REGIONAL_HA_CODE,NHS_HA_CODE,ADMIN_COUNTY_CODE,ADMIN_DISTRICT_CODE,ADMIN_WARD_CODE,POSTCODE_TYPE,WKT
EX2 4LD,10,N,11,11,11,0,0,9,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292713 92215)
EX2 4LG,10,N,10,10,10,0,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292848 92162)
EX4 1DS,10,N,2,2,0,2,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003506,S,POINT (291461 92048)
EX4 3DW,10,N,19,19,19,0,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291561 92323)
EX4 4FP,10,N,7,7,7,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291574 92799)
EX4 4NZ,10,N,6,6,5,1,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291125 93470)
EX4 4SZ,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003493,S,POINT (291819 93967)
EX4 6DL,10,N,2,2,2,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003498,S,POINT (292568 93970)
EX4 6QG,10,N,4,4,4,0,0,4,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292612 93431)
EX1 1AP,10,N,26,26,23,3,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292291 92405)
EX1 1BG,10,N,21,21,21,0,0,3,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291771 92356)
EX1 1GL,10,N,12,12,12,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292238 92627)
EX1 1TX,10,N,1,1,1,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292942 92497)
EX1 2BH,10,N,26,26,26,0,0,17,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292894 93047)
EX1 2EW,10,N,35,35,35,0,0,22,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (293024 92887)
EX1 9FJ,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX1 9SE,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292446 92788)
EX2 4LB,10,N,11,11,11,0,0,9,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292873 92185)
EX4 3BB,10,N,2,2,0,2,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291717 92598)
EX4 3LF,10,N,8,8,0,8,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292241 92804)
EX4 3WE,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX4 4BH,10,N,8,8,8,0,0,8,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291254 93250)
EX4 4DA,10,N,23,23,20,3,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291449 92943)
EX4 4HB,10,N,23,23,23,0,0,15,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292315 93236)
EX4 4PX,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003493,S,POINT (291936 93926)
EX4 6AG,10,N,10,10,10,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292528 93080)
EX4 6NE,10,N,2,2,2,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003500,S,POINT (293007 93670)
EX4 6PP,10,N,8,8,8,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292548 93099)
EX4 6QP,10,N,9,9,9,0,0,6,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292616 93289)
EX4 6QT,10,N,2,2,2,0,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003503,S,POINT (292551 93187)
EX1 1QR,10,N,5,5,0,5,0,2,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (292444 92546)
EX1 2JZ,10,N,1,1,0,1,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,L,POINT (292537 92819)
EX1 2LP,10,N,5,5,5,0,0,5,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292936 92661)
EX1 9RN,10,Y,1,1,0,0,1,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,L,POINT (292656 92951)
EX2 4DY,10,N,6,6,6,0,0,1,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003502,S,POINT (291728 92083)
EX2 4EX,10,N,19,19,19,0,0,19,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292595 92130)
EX2 4HE,10,N,15,15,15,0,0,14,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003504,S,POINT (292519 92140)
EX2 4TH,10,N,16,16,16,0,0,16,0,E92000001,E19000002,E18000010,E10000008,E07000041,E05003497,S,POINT (292980 92457)
